"PRODUCT_LINE","GENDER","AGE","MARITAL_STATUS","PROFESSION"
"Personal Accessories","M","27","Single","Professional"
"Personal Accessories","F","39","Married","Other"
"Mountaineering Equipment","F","NA","Married","Other"
"Personal Accessories","F","56","Unspecified","Hospitality"
"Golf Equipment","M","45","Married","Retired"
"Golf Equipment","M","45","Married","Retired"
"Camping Equipment","F","39","Married","Other"
"Camping Equipment","F","49","Married","Other"
"Outdoor Protection","F","49","Married","Other"
"Golf Equipment","M","47","Married","Retired"
"Golf Equipment","M","47","Married","Retired"
"Mountaineering Equipment","M","21","Single","Retail"
"Personal Accessories","F","66","Married","OTHER"
"Camping Equipment","F","35","Married","Professional"
"Mountaineering Equipment","M","20","Single","Sales"
"Mountaineering Equipment","M","20","Single","Sales"
"Mountaineering Equipment","M","20","Single","Sales"
"Camping Equipment","M","42","Married","Other"
"Camping Equipment","F","24","Married","Retail"
"Personal Accessories","F","24","Married","Retail"
"Mountaineering Equipment","M","29","Single","Retail"
"Camping Equipment","M","43","Married","Trades"
"Camping Equipment","M","NA","Married","Trades"
"Camping Equipment","F","43","Unspecified","Hospitality"
"Camping Equipment","F","43","Unspecified","Hospitality"
"Camping Equipment","F","43","Unspecified","Hospitality"
"Camping Equipment","F","43","Unspecified","Hospitality"
"Mountaineering Equipment","M","29","Single","Other"
"Personal Accessories","M","41","Married","Professional"
"Camping Equipment","M","32","Married","Other"
"Camping Equipment","M","34","Married","Sales"
"Personal Accessories","F","18","Single","STUDENT"
"Camping Equipment","F","31","Married","Executive"
"Camping Equipment","M","28","Single","Trades"
"Mountaineering Equipment","F","24","Single","Student"
"Camping Equipment","F","NA","Single","Other"
"Camping Equipment","F","29","Single","Other"
"Personal Accessories","F","NA","Unspecified","Hospitality"
"Camping Equipment","M","42","Married","Trades"
"Camping Equipment","M","42","Married","Trades"
"Camping Equipment","F","33","Married","Hospitality"
"Camping Equipment","F","33","Married","Hospitality"
"Camping Equipment","F","33","Married","Hospitality"
"Golf Equipment","F","54","Married","Other"
"Golf Equipment","F","54","Married","Other"
"Golf Equipment","F","54","Married","Other"
"Golf Equipment","M","38","Married","Executive"
"Golf Equipment","M","38","Married","Executive"
"Golf Equipment","M","38","Married","EXECUTIVE"
"Camping Equipment","M","24","Single","Other"
"Mountaineering Equipment","F","NA","Unspecified","Other"
"Mountaineering Equipment","F","24","Unspecified","Other"
"Personal Accessories","F","20","Single","Retail"
"Camping Equipment","F","20","Single","Retail"
"Personal Accessories","F","29","Single","Professional"
"Camping Equipment","M","40","Married","Other"
"Personal Accessories","F","49","Unspecified","Hospitality"
"Camping Equipment","F","26","Single","Other"
"Personal Accessories","F","51","Unspecified","Hospitality"
"Mountaineering Equipment","M","29","Single","Professional"
"Personal Accessories","F","33","Married","Executive"
"Golf Equipment","M","47","Married","Professional"
"Camping Equipment","F","38","Married","Other"
"Personal Accessories","F","39","Married","Executive"
"Mountaineering Equipment","M","29","Single","PROFESSIONAL"
"Personal Accessories","M","29","Single","Professional"
"Camping Equipment","F","33","Married","Executive"
"Mountaineering Equipment","F","20","Single","Professional"
"Personal Accessories","F","31","Single","Other"
"Mountaineering Equipment","F","42","Married","Other"
"Camping Equipment","F","42","Married","Other"
"Personal Accessories","F","42","Married","Other"
"Camping Equipment","M","NA","Single","Trades"
"Personal Accessories","F","65","Married","Other"
"Outdoor Protection","F","65","Married","Other"
"Camping Equipment","F","41","Unspecified","Hospitality"
"Outdoor Protection","F","NA","Unspecified","HOSPITALITY"
"Personal Accessories","M","17","Single","Student"
"Golf Equipment","M","55","Married","TRADES"
"Golf Equipment","M","55","Married","Trades"
"Golf Equipment","M","55","Married","Trades"
"Golf Equipment","M","55","Married","Trades"
"Camping Equipment","M","35","Married","Trades"
"Camping Equipment","M","25","Single","OTHER"
"Camping Equipment","M","25","Single","Other"
"Personal Accessories","F","18","Single","Retail"
"Personal Accessories","F","19","Single","OTHER"
"Mountaineering Equipment","M","NA","Single","Professional"
"Personal Accessories","M","33","Married","PROFESSIONAL"
"Personal Accessories","F","30","Single","Professional"
"Camping Equipment","F","29","Single","Other"
"Camping Equipment","F","29","Single","Other"
"Mountaineering Equipment","M","21","Single","Sales"
"Outdoor Protection","M","NA","Single","Sales"
"Camping Equipment","F","44","Married","OTHER"
"Mountaineering Equipment","M","21","Single","Student"
"Mountaineering Equipment","M","21","Single","Student"
"Golf Equipment","M","46","Married","Trades"
"Personal Accessories","F","47","Married","SALES"
"Personal Accessories","F","34","Single","Professional"
"Personal Accessories","F","24","Single","Professional"
"Personal Accessories","F","28","Single","Professional"
"Camping Equipment","M","26","Married","Other"
"Personal Accessories","M","26","Married","Other"
"Mountaineering Equipment","M","NA","Single","Professional"
"Mountaineering Equipment","M","29","Single","Professional"
"Personal Accessories","M","29","Single","Professional"
"Personal Accessories","M","27","Single","Other"
"Outdoor Protection","F","26","Married","Executive"
"Personal Accessories","F","NA","Married","Executive"
"Camping Equipment","F","20","Single","Other"
"Camping Equipment","M","26","Single","Other"
"Camping Equipment","M","NA","Married","Other"
"Camping Equipment","M","NA","Married","Other"
"Mountaineering Equipment","F","19","Single","Other"
"Mountaineering Equipment","F","19","Single","Other"
"Camping Equipment","F","26","Married","Other"
"Camping Equipment","F","26","Married","Other"
"Camping Equipment","F","40","Married","Other"
"Camping Equipment","F","40","Married","Other"
"Camping Equipment","F","40","Married","Other"
"Mountaineering Equipment","M","40","Single","Other"
"Camping Equipment","M","40","Single","Other"
"Camping Equipment","M","40","Single","Other"
"Camping Equipment","M","40","Single","Other"
"Camping Equipment","M","40","Single","Other"
"Mountaineering Equipment","M","44","Single","Other"
"Mountaineering Equipment","M","44","Single","Other"
"Golf Equipment","M","43","Married","Trades"
"Golf Equipment","M","43","Married","Trades"
"Personal Accessories","F","24","Single","Retail"
"Golf Equipment","M","28","Unspecified","Sales"
"Mountaineering Equipment","F","22","Single","Professional"
"Outdoor Protection","F","20","Married","Retail"
"Personal Accessories","F","46","Married","RETAIL"
"Camping Equipment","M","31","Unspecified","Sales"
"Mountaineering Equipment","M","31","Unspecified","Sales"
"Mountaineering Equipment","M","31","Unspecified","Sales"
"Mountaineering Equipment","M","31","Unspecified","SALES"
"Golf Equipment","M","NA","Unspecified","Sales"
"Camping Equipment","F","23","Single","Student"
"Camping Equipment","F","23","Single","Student"
"Mountaineering Equipment","F","37","Married","Other"
"Mountaineering Equipment","F","37","Married","Other"
"Personal Accessories","F","50","Married","Other"
"Personal Accessories","F","18","Single","Student"
"Mountaineering Equipment","M","30","Single","Trades"
"Personal Accessories","F","67","Married","Other"
"Personal Accessories","M","30","Married","Other"
"Golf Equipment","M","24","Single","Professional"
"Camping Equipment","F","31","Married","Other"
"Outdoor Protection","F","31","Married","OTHER"
"Camping Equipment","M","35","Married","Other"
"Golf Equipment","M","41","Married","Trades"
"Golf Equipment","M","41","Married","Trades"
"Personal Accessories","F","25","Single","Other"
"Personal Accessories","F","23","Single","Other"
"Personal Accessories","F","25","Single","Other"
"Golf Equipment","F","NA","Married","Hospitality"
"Camping Equipment","M","49","Unspecified","Trades"
"Camping Equipment","M","39","Married","Other"
"Camping Equipment","F","34","Married","Other"
"Camping Equipment","F","34","Married","Other"
"Camping Equipment","M","28","Single","Student"
"Camping Equipment","F","42","Married","OTHER"
"Personal Accessories","F","27","Single","Other"
"Camping Equipment","M","25","Single","Professional"
"Golf Equipment","M","55","Married","Other"
"Camping Equipment","M","27","Married","Other"
"Golf Equipment","M","27","Married","Other"
"Personal Accessories","F","NA","Single","Professional"
"Golf Equipment","M","50","Married","PROFESSIONAL"
"Mountaineering Equipment","F","33","Married","Other"
"Mountaineering Equipment","F","33","Married","Other"
"Camping Equipment","M","35","Married","Sales"
"Camping Equipment","M","26","Married","Sales"
"Mountaineering Equipment","F","31","Married","Retail"
"Mountaineering Equipment","F","NA","Married","Retail"
"Camping Equipment","M","42","Married","Sales"
"Outdoor Protection","M","42","Married","Sales"
"Camping Equipment","F","40","Married","Other"
"Outdoor Protection","F","40","Married","Other"
"Personal Accessories","F","21","Married","Other"
"Mountaineering Equipment","F","19","Single","Other"
"Camping Equipment","F","43","Married","Other"
"Mountaineering Equipment","F","NA","Married","OTHER"
"Camping Equipment","F","31","Married","Other"
"Outdoor Protection","F","NA","Married","Other"
"Camping Equipment","F","49","Married","Executive"
"Outdoor Protection","F","49","Married","Executive"
"Golf Equipment","M","43","Married","Trades"
"Golf Equipment","M","43","Married","Trades"
"Camping Equipment","F","29","Single","HOSPITALITY"
"Camping Equipment","F","29","Single","Hospitality"
"Camping Equipment","F","24","Single","Retail"
"Mountaineering Equipment","M","20","Single","Other"
"Mountaineering Equipment","M","20","Single","Other"
"Camping Equipment","M","33","Married","Executive"
"Mountaineering Equipment","M","19","Single","Other"
"Personal Accessories","M","27","Married","Other"
"Camping Equipment","M","27","Married","Executive"
"Mountaineering Equipment","M","27","Married","Executive"
"Mountaineering Equipment","M","27","Married","Executive"
"Camping Equipment","F","22","Single","Other"
"Camping Equipment","F","22","Single","Other"
"Personal Accessories","F","25","Single","Retail"
"Camping Equipment","F","39","Married","Other"
"Personal Accessories","F","28","Single","Other"
"Camping Equipment","F","20","Single","Student"
"Camping Equipment","F","46","Married","Other"
"Mountaineering Equipment","M","22","Single","OTHER"
"Camping Equipment","F","40","Married","Other"
"Camping Equipment","F","27","Single","Other"
"Personal Accessories","F","57","Married","Retired"
"Golf Equipment","F","27","Single","Other"
"Mountaineering Equipment","F","27","Single","Other"
"Personal Accessories","F","21","Single","Other"
"Personal Accessories","F","25","Married","Executive"
"Camping Equipment","M","35","Married","Other"
"Camping Equipment","M","39","Married","EXECUTIVE"
"Outdoor Protection","M","39","Married","Executive"
"Personal Accessories","F","23","Single","Retail"
"Camping Equipment","F","44","Married","Other"
"Camping Equipment","M","31","Married","Sales"
"Camping Equipment","M","31","Married","Sales"
"Personal Accessories","F","23","Single","Retail"
"Personal Accessories","M","24","Single","Student"
"Camping Equipment","M","31","Single","Professional"
"Camping Equipment","M","31","Single","Professional"
"Personal Accessories","F","19","Single","RETAIL"
"Camping Equipment","M","33","Single","Other"
"Camping Equipment","M","33","Single","OTHER"
"Personal Accessories","M","41","Married","Other"
"Camping Equipment","F","25","Married","Other"
"Golf Equipment","M","43","Single","Other"
"Personal Accessories","M","43","Single","OTHER"
